seed,method,round,full_test_accuracy_percent,full_test_correct,n_test,train_loss,training_factor_bytes,control_bytes,assembly_bytes
42,mh16,17,6.8500000000000005,685,10000,1.0097114489609003,1175040,0,2867312
42,mh16,18,7.290000000000001,729,10000,0.9933479747951031,1175040,0,2867312
42,mh16,19,7.46,746,10000,0.9860185581481457,1175040,0,2867312
42,mh16,20,7.6,760,10000,0.9774739324063063,1175040,0,2867312
42,mh16,21,7.8,780,10000,0.9668073411402106,1175040,0,2867312
42,mh16,22,8.05,805,10000,0.9597872424060107,1175040,0,2867312
42,mh16,23,8.32,832,10000,0.9509698050321639,1175040,0,2867312
42,mh16,24,8.76,876,10000,0.9440026806754619,1175040,0,2867312
42,mh16,25,8.84,884,10000,0.9371688078376651,1175040,0,2867312
42,mh16,26,9.2,920,10000,0.9321773947262764,1175040,0,2867312
42,mh16,27,9.4,940,10000,0.9249374956417084,1175040,0,2867312
42,mh16,28,9.58,958,10000,0.9188677104824782,1175040,0,2867312
42,mh16,29,9.610000000000001,961,10000,0.9176088681960106,1175040,0,2867312
42,mh16,30,10.01,1001,10000,0.9116861550831795,1175040,0,2867312
42,mh_sample,1,1.51,151,10000,3.4430262020874025,685440,0,2867312
42,mh_sample,2,1.5699999999999998,157,10000,2.6750125424337385,685440,0,2867312
42,mh_sample,3,2.2399999999999998,224,10000,2.256703355104923,685440,0,2867312
42,mh_sample,4,2.71,271,10000,1.985118305273056,685440,0,2867312
42,mh_sample,5,2.88,288,10000,1.8079783004188537,685440,0,2867312
42,mh_sample,6,3.36,336,10000,1.6818827079105376,685440,0,2867312
42,mh_sample,7,3.7900000000000005,379,10000,1.5967935455036164,685440,0,2867312
42,mh_sample,8,4.05,405,10000,1.5338489693045616,685440,0,2867312
42,mh_sample,9,4.36,436,10000,1.4883275652623176,685440,0,2867312
42,mh_sample,10,4.54,454,10000,1.4459258784669637,685440,0,2867312
42,mh_sample,11,4.83,483,10000,1.413654153969288,685440,0,2867312
42,mh_sample,12,4.88,488,10000,1.3829679384851457,685440,0,2867312
42,mh_sample,13,5.07,507,10000,1.361981983937025,685440,0,2867312
42,mh_sample,14,5.38,538,10000,1.343466668522358,685440,0,2867312
42,mh_sample,15,5.65,565,10000,1.3293238453173637,685440,0,2867312
42,mh_sample,16,5.8500000000000005,585,10000,1.3148139345943928,685440,0,2867312
42,mh_sample,17,6.08,608,10000,1.2991314271903038,685440,0,2867312
42,mh_sample,18,6.1,610,10000,1.285385766608715,685440,0,2867312
42,mh_sample,19,6.13,613,10000,1.2817286622548103,685440,0,2867312
42,mh_sample,20,6.21,621,10000,1.2740324944394827,685440,0,2867312
42,mh_sample,21,6.32,632,10000,1.2659465946295858,685440,0,2867312
42,mh_sample,22,6.370000000000001,637,10000,1.262201228390336,685440,0,2867312
42,mh_sample,23,6.329999999999999,633,10000,1.2528257854571938,685440,0,2867312
42,mh_sample,24,6.6000000000000005,660,10000,1.2454116435310245,685440,0,2867312
42,mh_sample,25,6.59,659,10000,1.2454262535226346,685440,0,2867312
42,mh_sample,26,6.660000000000001,666,10000,1.2400420239377021,685440,0,2867312
42,mh_sample,27,6.87,687,10000,1.2368911224269867,685440,0,2867312
42,mh_sample,28,6.6000000000000005,660,10000,1.2287371549534798,685440,0,2867312
42,mh_sample,29,7.000000000000001,700,10000,1.2262510815560819,685440,0,2867312
42,mh_sample,30,7.049999999999999,705,10000,1.2215400283277036,685440,0,2867312
42,pooled,1,44.0,4400,10000,2.9101160333251954,0,0,0
42,pooled,2,50.79,5079,10000,1.8000093215560913,0,0,0
42,pooled,3,53.2,5320,10000,1.629767820701599,0,0,0
42,pooled,4,53.779999999999994,5378,10000,1.559410627593994,0,0,0
42,pooled,5,54.74,5474,10000,1.5196608475112916,0,0,0
42,pooled,6,55.279999999999994,5528,10000,1.4897343710708617,0,0,0
42,pooled,7,55.13,5513,10000,1.4708068334198,0,0,0
42,pooled,8,55.98,5598,10000,1.453603010520935,0,0,0
42,pooled,9,56.330000000000005,5633,10000,1.437285205078125,0,0,0
42,pooled,10,56.07,5607,10000,1.4263236645126343,0,0,0
42,pooled,11,56.410000000000004,5641,10000,1.414952226638794,0,0,0
42,pooled,12,56.120000000000005,5612,10000,1.4082074770736694,0,0,0
42,pooled,13,57.15,5715,10000,1.4004279671478272,0,0,0
42,pooled,14,57.08,5708,10000,1.3938816024017333,0,0,0
42,pooled,15,57.32000000000001,5732,10000,1.3869527612113952,0,0,0
42,pooled,16,57.24,5724,10000,1.3804604074859619,0,0,0
42,pooled,17,56.940000000000005,5694,10000,1.375752297744751,0,0,0
42,pooled,18,57.330000000000005,5733,10000,1.3714774295806884,0,0,0
42,pooled,19,57.269999999999996,5727,10000,1.365345575027466,0,0,0
42,pooled,20,57.120000000000005,5712,10000,1.3633758402633667,0,0,0
42,pooled,21,57.730000000000004,5773,10000,1.3586696877288817,0,0,0
42,pooled,22,57.3,5730,10000,1.3559804007339478,0,0,0
42,pooled,23,57.730000000000004,5773,10000,1.3526754177093505,0,0,0
42,pooled,24,57.4,5740,10000,1.3497833777999877,0,0,0
42,pooled,25,57.14,5714,10000,1.3462338971328736,0,0,0
42,pooled,26,57.8,5780,10000,1.3444224276733399,0,0,0
42,pooled,27,57.550000000000004,5755,10000,1.3421115695190429,0,0,0
42,pooled,28,57.74,5774,10000,1.3406423801803589,0,0,0
42,pooled,29,57.64,5764,10000,1.3394035190582276,0,0,0
42,pooled,30,57.8,5780,10000,1.3357528846359252,0,0,0
