seed,method,round,client_id,rank,capacity_ceiling,stable_rank,ema_demand,quality_ema,changed
42,adaptive_domain,16,8,8,16,1.0244439166173134,1.0315135820859984,0.6007413602835614,False
42,adaptive_domain,16,9,2,4,1.0056781322299169,1.0087296815660978,0.28138523562371415,False
42,adaptive_domain,16,10,4,8,1.0710230101394496,1.0991203890670855,0.3996352106592818,False
42,adaptive_domain,16,11,8,16,1.1509079837978327,1.1521466164126306,0.36129021276247925,False
42,adaptive_domain,16,12,2,4,1.0184651152185755,1.0131475259603124,0.32609613361024326,False
42,adaptive_domain,16,13,4,8,1.0424059154061562,1.0434438360270297,0.29518368018358854,False
42,adaptive_domain,16,14,8,16,1.080479709865343,1.0985134548396929,0.4691377572869974,False
42,adaptive_domain,17,0,2,4,1.0033270162152887,1.0041560319978933,0.3671505489501296,False
42,adaptive_domain,17,1,4,8,1.2272131987362038,1.192100528953428,0.3881771264065398,False
42,adaptive_domain,17,2,8,16,1.0565493104537516,1.0665104715961717,0.5516955465506668,False
42,adaptive_domain,17,3,2,4,1.008918824184383,1.0093162516575447,0.3398253414352463,False
42,adaptive_domain,17,4,4,8,1.0619159283694202,1.051862005915701,0.4171507261854619,False
42,adaptive_domain,17,5,8,16,1.1357395432271749,1.266175507460275,0.6472310800259612,False
42,adaptive_domain,17,6,2,4,1.0164390219606558,1.0207178490240256,0.3688751589173108,False
42,adaptive_domain,17,7,4,8,1.0173918569494855,1.0180407570952832,0.39058027901016146,False
42,adaptive_domain,17,8,8,16,1.019828308390253,1.0280079999772749,0.6065465605156215,False
42,adaptive_domain,17,9,2,4,1.0053727591906632,1.0077226048534673,0.28222155535345117,False
42,adaptive_domain,17,10,4,8,1.1057997152072385,1.1011241869091315,0.4018358497032269,False
42,adaptive_domain,17,11,8,16,1.1246376331277979,1.1438939214271808,0.36500328335517596,False
42,adaptive_domain,17,12,2,4,1.023617615019436,1.0162885526780494,0.32641855985576307,False
42,adaptive_domain,17,13,4,8,1.0411786845627167,1.0427642905877357,0.29443981373200484,False
42,adaptive_domain,17,14,8,16,1.0956086873506616,1.0976420245929834,0.4752688692212709,False
42,adaptive_domain,18,0,2,4,1.0030137410451334,1.0038133447120654,0.3700772907259702,False
42,adaptive_domain,18,1,4,8,1.0792273020170184,1.1582385608725052,0.3900608367083285,False
42,adaptive_domain,18,2,8,16,1.0412622858779246,1.0589360158806975,0.5549760093803463,False
42,adaptive_domain,18,3,2,4,1.0093503285182863,1.009326474715767,0.3414936362348797,False
42,adaptive_domain,18,4,4,8,1.0653605062850668,1.0559115560265107,0.4217794909025881,False
42,adaptive_domain,18,5,8,16,1.1191988338296641,1.2220825053710918,0.6529958001776215,False
42,adaptive_domain,18,6,2,4,1.027233429007747,1.022672523019142,0.3715085154891361,False
42,adaptive_domain,18,7,4,8,1.0159704770269486,1.0174196730747829,0.3930574919386173,False
42,adaptive_domain,18,8,8,16,1.020021342222638,1.0256120026508837,0.6125738104682538,False
