arm,seed,round,validation_accuracy,mean_peer_rank,training_bytes_cumulative,training_adapter_bytes,training_head_bytes,training_metadata_bytes,rank_peer0,rank_peer1,rank_peer2,rank_peer3,rank_peer4,rank_peer5,rank_peer6,rank_peer7,rank_peer8,rank_peer9
product16_sample,42,4,93.80733944954129,16.0,378595632,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,42,5,94.15137614678899,16.0,473244540,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,42,6,94.38073394495413,16.0,567893448,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,42,7,93.69266055045871,16.0,662542356,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,42,8,94.4954128440367,16.0,757191264,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,42,9,94.15137614678899,16.0,851840172,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,42,10,94.38073394495413,16.0,946489080,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,42,11,94.03669724770643,16.0,1041137988,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,42,12,94.26605504587155,16.0,1135786896,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,42,13,94.61009174311927,16.0,1230435804,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,42,14,94.4954128440367,16.0,1325084712,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,42,15,93.92201834862385,16.0,1419733620,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,42,16,94.72477064220183,16.0,1514382528,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,42,17,94.38073394495413,16.0,1609031436,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,42,18,94.72477064220183,16.0,1703680344,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,42,19,94.4954128440367,16.0,1798329252,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,42,20,94.26605504587155,16.0,1892978160,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,43,1,91.85779816513761,16.0,94648908,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,43,2,93.0045871559633,16.0,189297816,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,43,3,93.23394495412845,16.0,283946724,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,43,4,93.46330275229357,16.0,378595632,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,43,5,93.34862385321101,16.0,473244540,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,43,6,93.57798165137615,16.0,567893448,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,43,7,94.15137614678899,16.0,662542356,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,43,8,93.80733944954129,16.0,757191264,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,43,9,94.03669724770643,16.0,851840172,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,43,10,93.80733944954129,16.0,946489080,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,43,11,94.38073394495413,16.0,1041137988,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,43,12,94.26605504587155,16.0,1135786896,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,43,13,94.26605504587155,16.0,1230435804,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,43,14,94.4954128440367,16.0,1325084712,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,43,15,94.26605504587155,16.0,1419733620,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,43,16,94.03669724770643,16.0,1514382528,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,43,17,94.26605504587155,16.0,1609031436,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,43,18,94.83944954128441,16.0,1703680344,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,43,19,94.61009174311927,16.0,1798329252,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,43,20,94.4954128440367,16.0,1892978160,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
product16_sample,44,1,91.97247706422019,16.0,94648908,47185920,47370400,92588,16,16,16,16,16,16,16,16,16,16
