effect,endpoint,seed,difference_pp,paired_mean,sample_sd,ci95_low,ci95_high
adaptation_main,final_accuracy,45,0.05733944954128134,-0.3555045871559628,0.39184287989151034,-0.8420417840697338,0.13103260975780823
adaptation_main,final_accuracy,46,-0.34403669724770936,-0.3555045871559628,0.39184287989151034,-0.8420417840697338,0.13103260975780823
weighting_main,best_accuracy,42,0.0,-0.022935779816511116,0.10416228282445471,-0.15227033637035506,0.10639877673733282
weighting_main,best_accuracy,43,-0.05733944954128134,-0.022935779816511116,0.10416228282445471,-0.15227033637035506,0.10639877673733282
weighting_main,best_accuracy,44,7.105427357601002e-15,-0.022935779816511116,0.10416228282445471,-0.15227033637035506,0.10639877673733282
weighting_main,best_accuracy,45,-0.17201834862385113,-0.022935779816511116,0.10416228282445471,-0.15227033637035506,0.10639877673733282
weighting_main,best_accuracy,46,0.11467889908256979,-0.022935779816511116,0.10416228282445471,-0.15227033637035506,0.10639877673733282
weighting_main,final_accuracy,42,0.4013761467889907,0.0573394495412856,0.28381579520102207,-0.29506440548139684,0.40974330456396807
weighting_main,final_accuracy,43,-0.17201834862385113,0.0573394495412856,0.28381579520102207,-0.29506440548139684,0.40974330456396807
weighting_main,final_accuracy,44,0.22935779816513957,0.0573394495412856,0.28381579520102207,-0.29506440548139684,0.40974330456396807
weighting_main,final_accuracy,45,-0.2866972477064209,0.0573394495412856,0.28381579520102207,-0.29506440548139684,0.40974330456396807
weighting_main,final_accuracy,46,0.11467889908256979,0.0573394495412856,0.28381579520102207,-0.29506440548139684,0.40974330456396807
interaction,best_accuracy,42,0.45871559633027914,0.18348623853210883,0.3098453230758372,-0.2012375441429729,0.5682100212071906
interaction,best_accuracy,43,-0.34403669724771646,0.18348623853210883,0.3098453230758372,-0.2012375441429729,0.5682100212071906
interaction,best_accuracy,44,0.22935779816513957,0.18348623853210883,0.3098453230758372,-0.2012375441429729,0.5682100212071906
interaction,best_accuracy,45,0.34403669724770225,0.18348623853210883,0.3098453230758372,-0.2012375441429729,0.5682100212071906
interaction,best_accuracy,46,0.22935779816513957,0.18348623853210883,0.3098453230758372,-0.2012375441429729,0.5682100212071906
interaction,final_accuracy,42,1.2614678899082605,0.06880733944954613,0.7887040763325456,-0.910498117369131,1.0481127962682233
interaction,final_accuracy,43,-0.573394495412856,0.06880733944954613,0.7887040763325456,-0.910498117369131,1.0481127962682233
interaction,final_accuracy,44,-0.22935779816512536,0.06880733944954613,0.7887040763325456,-0.910498117369131,1.0481127962682233
interaction,final_accuracy,45,-0.5733944954128418,0.06880733944954613,0.7887040763325456,-0.910498117369131,1.0481127962682233
interaction,final_accuracy,46,0.45871559633029335,0.06880733944954613,0.7887040763325456,-0.910498117369131,1.0481127962682233
