task,round,client_id,is_synthetic,partition_strategy,partition_alpha,partition_seed,hardware_batch_size,train_samples_seen,partition_samples,adaptive_rank,local_loss,quality_score,entropy,normalized_entropy,class_imbalance_ratio,kl_to_global,js_to_global,zero_class_count,update_cosine_distance_to_mean,update_l2_distance_to_mean,update_norm,full_accuracy,loo_accuracy,delta_accuracy
Tabular-MLP,5,1,False,dirichlet,0.5,42,64,33,11,2,0.6934641003608704,0.5905055795318626,-0.0,-0.0,1.5,0.7675797753137856,0.23590539792666781,1,1.6268840628460117,0.1884450078308822,0.05090964966851306,58.333333333333336,58.333333333333336,0.0
Tabular-MLP,5,2,False,dirichlet,0.5,42,256,372,124,8,0.6927562952041628,0.5907524921532726,0.6742979594073284,0.9728063221185003,1.48,0.03533555760210966,0.008855897717476979,0,0.27817457757467645,0.11834660469752088,0.056137034388571566,58.333333333333336,56.666666666666664,1.6666666666666714
Audio-1DCNN,1,0,False,dirichlet,0.5,42,16,64758,21586,2,3.1305920600891115,0.24209604469593313,3.096910037690136,0.8710567809759735,900.6857142857143,0.4221930622416267,0.11344150532160524,2,0.3184866303031868,5.790723857335032,7.865910265604769,3.8473098887886987,3.676986273920449,0.17032361486824987
Audio-1DCNN,1,1,False,dirichlet,0.5,42,64,92217,30739,2,3.1631875991821286,0.2402005617513977,3.1384684549942694,0.8827457679852295,1387.5,0.3741589604094003,0.10207021240024038,0,0.392322021807438,5.662584040573358,7.111452309783185,3.8473098887886987,3.5267007313896404,0.3206091573990584
Audio-1DCNN,1,2,False,dirichlet,0.5,42,256,97554,32518,8,3.1324113368988034,0.24198946292467993,3.130689543228474,0.8805578213675539,257.1666666666667,0.34219544065655116,0.093996279682031,0,0.37123148014845386,5.580689345878897,7.171232855040664,3.8473098887886987,3.6369101292455666,0.21039975954313217
Audio-1DCNN,2,0,False,dirichlet,0.5,42,16,64758,21586,2,3.1699095249176024,0.23981335662666686,3.096910037690136,0.8710567809759735,900.6857142857143,0.4221930622416267,0.11344150532160524,2,0.3283796305648816,6.086496778318677,8.111170559234543,3.8473098887886987,3.676986273920449,0.17032361486824987
Audio-1DCNN,2,1,False,dirichlet,0.5,42,64,92217,30739,2,3.1947811126708983,0.2383914614708658,3.1384684549942694,0.8827457679852295,1387.5,0.3741589604094003,0.10207021240024038,0,0.3928311082179925,6.990741880591982,8.737061589864908,3.8473098887886987,3.787195671776375,0.06011421701232367
Audio-1DCNN,2,2,False,dirichlet,0.5,42,256,97554,32518,8,3.1475186347961426,0.24110801856569636,3.130689543228474,0.8805578213675539,257.1666666666667,0.34219544065655116,0.093996279682031,0,0.6008937457080139,6.445828322745922,6.754426477161308,3.8473098887886987,3.5667768760645227,0.2805330127241761
Audio-1DCNN,3,0,False,dirichlet,0.5,42,16,64758,21586,2,2.9850767612457276,0.25093619518822063,3.096910037690136,0.8710567809759735,900.6857142857143,0.4221930622416267,0.11344150532160524,2,0.2989220781232882,6.875076391178678,9.109705117409518,3.8473098887886987,3.676986273920449,0.17032361486824987
Audio-1DCNN,3,1,False,dirichlet,0.5,42,64,92217,30739,2,3.151548290252686,0.24087398967461715,3.1384684549942694,0.8827457679852295,1387.5,0.3741589604094003,0.10207021240024038,0,0.5200322580625556,6.973833224790307,7.940746242883813,3.8473098887886987,3.787195671776375,0.06011421701232367
Audio-1DCNN,3,2,False,dirichlet,0.5,42,256,97554,32518,8,3.1298907756805416,0.2421371543016693,3.130689543228474,0.8805578213675539,257.1666666666667,0.34219544065655116,0.093996279682031,0,0.6661066694633584,6.5238900670632,6.6121175219272414,3.8473098887886987,3.5667768760645227,0.2805330127241761
Audio-1DCNN,4,0,False,dirichlet,0.5,42,16,64758,21586,2,3.20796308517456,0.23764467029741462,3.096910037690136,0.8710567809759735,900.6857142857143,0.4221930622416267,0.11344150532160524,2,0.2787613507049559,6.865733965207244,9.251488102640248,3.8473098887886987,3.676986273920449,0.17032361486824987
Audio-1DCNN,4,1,False,dirichlet,0.5,42,64,92217,30739,2,3.1768685340881344,0.2394138076979991,3.1384684549942694,0.8827457679852295,1387.5,0.3741589604094003,0.10207021240024038,0,0.48636932904833796,7.63565138761361,8.889493381026057,3.8473098887886987,3.787195671776375,0.06011421701232367
Audio-1DCNN,4,2,False,dirichlet,0.5,42,256,97554,32518,8,3.127899312973023,0.24225397088955966,3.130689543228474,0.8805578213675539,257.1666666666667,0.34219544065655116,0.093996279682031,0,0.7685595389515529,6.478294891468977,5.994471155695886,3.8473098887886987,3.5667768760645227,0.2805330127241761
Audio-1DCNN,5,0,False,dirichlet,0.5,42,16,64758,21586,2,3.021620273590088,0.24865599732699356,3.096910037690136,0.8710567809759735,900.6857142857143,0.4221930622416267,0.11344150532160524,2,0.2534090387893567,8.320440298686343,11.307394051818632,3.8473098887886987,3.676986273920449,0.17032361486824987
Audio-1DCNN,5,1,False,dirichlet,0.5,42,64,92217,30739,2,3.192292785644531,0.23853295824763301,3.1384684549942694,0.8827457679852295,1387.5,0.3741589604094003,0.10207021240024038,0,0.5104722645851898,8.742151795825553,10.025515521441113,3.8473098887886987,3.787195671776375,0.06011421701232367
Audio-1DCNN,5,2,False,dirichlet,0.5,42,256,97554,32518,8,3.1586978912353514,0.24045988099004412,3.130689543228474,0.8805578213675539,257.1666666666667,0.34219544065655116,0.093996279682031,0,0.7883333514425019,7.028632193493624,6.191043160585916,3.8473098887886987,3.5667768760645227,0.2805330127241761
