task,round,client_id,is_synthetic,quality_score,delta_accuracy,js_to_global,update_l2_distance_to_mean,update_cosine_distance_to_mean,normalized_entropy,class_imbalance_ratio,form,gamma,target_lambda_cv,achieved_lambda_cv,raw_lambda_score,predicted_delta_accuracy,lambda_weight,effective_quality_score
CIFAR-CNN,4,1,False,0.4695703258168753,4.469999999999999,0.1270531045453641,21.412538023076323,0.4922943970552486,0.7967189924583488,55.67142857142857,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.3439115542804446,2.681324511600887,1.0184018626165028,0.4782112944413439
CIFAR-CNN,4,2,False,0.5222419897088306,0.2899999999999991,0.2013488097591719,15.232184250365888,0.7865834428859689,0.6629176105093935,1414.6666666666667,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.33531389740509515,2.6282966202627907,0.997220821790788,0.5207905861510963
CIFAR-CNN,5,0,False,0.463566222501506,0.2999999999999971,0.0580468695814876,26.363750313127703,0.2389673815190486,0.9024849063615884,14.881028938906752,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.3259215230683538,2.5703671386660734,0.9831381731477945,0.45574964912315463
CIFAR-CNN,5,1,False,0.4421690634748408,2.729999999999997,0.1270531045453641,21.71933640035982,0.5260541850162239,0.7967189924583488,55.67142857142857,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.34744115181363144,2.7030940608130307,1.0362421055773514,0.4581942013563346
CIFAR-CNN,5,2,False,0.5112842675586797,1.509999999999998,0.2013488097591719,14.592271160847286,0.8281022386736061,0.6629176105093935,1414.6666666666667,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.3248722898969191,2.5638957682206334,0.980619721274854,0.5013754359456104
Fashion-MLP,1,0,False,0.5943674158040612,3.4300000000000037,0.049402010772776,15.744465541921,0.153240554552432,0.9199647048480544,24.021929824561404,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.18966923971327246,1.7300019809175406,1.011983515236139,0.6014900267872136
Fashion-MLP,1,1,False,0.5850563678878024,-16.949999999999996,0.170160006325095,10.420126698660948,0.5153918933412853,0.7205285071162855,627.0,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.2124797651678937,1.8706907851707784,1.0700168484486114,0.6260201709320977
Fashion-MLP,1,2,False,0.5857931872832651,-6.339999999999996,0.0994858410058798,10.814425721854803,0.5847637053066183,0.8494880539494967,4197.0,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.14979709890535645,1.484082007506934,0.9179996363152496,0.5377579328819883
Fashion-MLP,2,0,False,0.5808892695341368,7.259999999999998,0.049402010772776,8.50653022131733,0.1527762667378904,0.9199647048480544,24.021929824561404,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.042707798167470404,0.8235857949536096,0.8878050134091222,0.5157164057279695
Fashion-MLP,2,1,False,0.6447982846964576,2.990000000000002,0.170160006325095,7.151192264807544,0.2722103430932377,0.7205285071162855,627.0,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.12493639898456399,1.3307483128617608,1.085467863771265,0.6999078166528397
