context_id,variant_id,label,round,domain_id,metric,n,mean,sample_std,min,max
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,23,4,accuracy,3,0.22466666666666665,0.018454899981667026,0.204,0.2395
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,24,0,accuracy,3,0.2355,0.06924413332550274,0.1605,0.297
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,24,1,accuracy,3,0.3393333333333333,0.11577600499815723,0.2705,0.473
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,24,2,accuracy,3,0.3268333333333333,0.05913191467670679,0.259,0.3675
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,24,3,accuracy,3,0.17383333333333334,0.046535828490887894,0.1405,0.227
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,24,4,accuracy,3,0.22883333333333333,0.026759733431656843,0.198,0.246
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,25,0,accuracy,3,0.246,0.07458049342824168,0.1695,0.3185
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,25,1,accuracy,3,0.36883333333333335,0.07419624878208692,0.325,0.4545
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,25,2,accuracy,3,0.335,0.07026200964959656,0.256,0.3905
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,25,3,accuracy,3,0.17966666666666667,0.04567913455105443,0.1435,0.231
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,25,4,accuracy,3,0.23333333333333334,0.004368447474027041,0.2285,0.237
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,26,0,accuracy,3,0.24666666666666667,0.0844605430561119,0.1705,0.3375
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,26,1,accuracy,3,0.3453333333333333,0.11483284953937758,0.27,0.4775
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,26,2,accuracy,3,0.3358333333333333,0.0519382646353662,0.278,0.3785
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,26,3,accuracy,3,0.19116666666666668,0.03755440497908779,0.1525,0.2275
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,26,4,accuracy,3,0.23366666666666666,0.020027065020450038,0.212,0.2515
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,27,0,accuracy,3,0.24866666666666667,0.07541938300817194,0.193,0.3345
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,27,1,accuracy,3,0.3631666666666667,0.08497989958415658,0.301,0.46
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,27,2,accuracy,3,0.3358333333333333,0.08119780374698157,0.246,0.404
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,27,3,accuracy,3,0.18133333333333332,0.058494301716776935,0.12,0.2365
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,27,4,accuracy,3,0.213,0.019981241202688075,0.195,0.2345
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,28,0,accuracy,3,0.24733333333333332,0.0685735614747647,0.177,0.314
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,28,1,accuracy,3,0.33316666666666667,0.08519585279421373,0.2815,0.4315
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,28,2,accuracy,3,0.3471666666666667,0.03409667627985656,0.326,0.3865
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,28,3,accuracy,3,0.19766666666666666,0.021623675296612587,0.183,0.2225
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,28,4,accuracy,3,0.24083333333333332,0.005346338310781819,0.235,0.2455
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,29,0,accuracy,3,0.23666666666666666,0.08940684164723266,0.1555,0.3325
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,29,1,accuracy,3,0.3615,0.06453100030218034,0.323,0.436
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,29,2,accuracy,3,0.33516666666666667,0.06783497131519503,0.2605,0.393
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,29,3,accuracy,3,0.18766666666666668,0.03949789023901573,0.158,0.2325
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,29,4,accuracy,3,0.23616666666666666,0.005507570547286093,0.2305,0.2415
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,30,0,accuracy,3,0.25283333333333335,0.06356558293080725,0.191,0.318
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,30,1,accuracy,3,0.353,0.12256018929489297,0.272,0.494
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,30,2,accuracy,3,0.34750000000000003,0.04867494221876387,0.307,0.4015
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,30,3,accuracy,3,0.18766666666666668,0.04151606114907016,0.161,0.2355
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,30,4,accuracy,3,0.2245,0.008660254037844378,0.2195,0.2345
